"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X0",34445.4545454545,740.909090909091,1218.18181818182,50,100,190.909090909091,436.363636363636,0,990.909090909091,154.545454545455
"X1",527.272727272727,25722.7272727273,0,86.3636363636364,100,0,200,559.090909090909,0,100
"X2",659.090909090909,3631.81818181818,36636.3636363636,0,0,0,100,500,5477.27272727273,0
"X3",645.454545454545,0,0,36186.3636363636,0,245.454545454545,0,145.454545454545,2572.72727272727,0
"X4",231.818181818182,236.363636363636,0,0,36400,100,0,0,0,7554.54545454545
"X5",318.181818181818,0,0,2022.72727272727,0,38577.2727272727,100,0,1054.54545454545,609.090909090909
"X6",1577.27272727273,177.272727272727,0,0,0,331.818181818182,38827.2727272727,0,3522.72727272727,200
"X7",90.9090909090909,3650,959.090909090909,627.272727272727,0,0,0,38595.4545454545,954.545454545455,100
"X8",468.181818181818,1286.36363636364,1186.36363636364,736.363636363636,0,154.545454545455,336.363636363636,200,25322.7272727273,218.181818181818
"X9",1036.36363636364,4554.54545454545,0,290.909090909091,3400,400,0,0,104.545454545455,31063.6363636364
