"PCAthresh","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.8,1,0.97485,0.972055555555556,0.0074942739084011,0.00832697100933456
0.8,2,0.969075,0.965638888888889,0.00860654408052971,0.00956282675614413
0.8,3,0.975775,0.973083333333333,0.00795104179693238,0.00883449088548043
0.8,4,0.9735,0.970555555555556,0.00769526943759423,0.0085502993751047
0.8,5,0.9744,0.971555555555556,0.00863923397277581,0.0095991488586398
0.8,6,0.97255,0.9695,0.00827998072510323,0.00919997858344804
0.8,7,0.973625,0.970694444444444,0.00749052431712591,0.00832280479680658
0.8,8,0.971675,0.968527777777778,0.00807989617645069,0.00897766241827855
0.8,9,0.972825,0.969805555555556,0.00845856657388524,0.00939840730431694
0.8,10,0.972475,0.969416666666667,0.00732967367361032,0.00814408185956703
0.8,11,0.9718,0.968666666666667,0.007308843405026,0.00812093711669556
0.9,1,0.97955,0.977277777777778,0.00661323283159216,0.00734803647954685
0.9,2,0.972725,0.969694444444444,0.00754694901227904,0.00838549890253227
0.9,3,0.9807,0.978555555555556,0.0059147991077338,0.00657199900859311
0.9,4,0.977875,0.975416666666667,0.00600268248116599,0.00666964720129554
0.9,5,0.979425,0.977138888888889,0.00623462755969279,0.0069273639552142
0.9,6,0.978325,0.975916666666667,0.00646528218544046,0.00718364687271162
0.9,7,0.979025,0.976694444444444,0.00634543301926829,0.00705048113252032
0.9,8,0.977675,0.975194444444444,0.00643788306695908,0.00715320340773231
0.9,9,0.9774,0.974888888888889,0.00680648828899918,0.00756276476555464
0.9,10,0.976825,0.97425,0.00714085379554105,0.00793428199504561
0.9,11,0.976225,0.973583333333333,0.00648906422725608,0.00721007136361787
0.95,1,0.9807,0.978555555555556,0.00656244288094431,0.00729160320104923
0.95,2,0.97445,0.971611111111111,0.00700450792797977,0.00778278658664419
0.95,3,0.98095,0.978833333333333,0.00628429982117533,0.00698255535686147
0.95,4,0.9785,0.976111111111111,0.00633652232312924,0.00704058035903249
0.95,5,0.97975,0.9775,0.00652791209833867,0.00725323566482075
0.95,6,0.97915,0.976833333333333,0.00692874994191419,0.00769861104657132
0.95,7,0.978425,0.976027777777778,0.00696904229468085,0.00774338032742318
0.95,8,0.9768,0.974222222222222,0.00656244288094431,0.00729160320104923
0.95,9,0.976725,0.974138888888889,0.0066826985264906,0.00742522058498955
0.95,10,0.976025,0.973361111111111,0.00661051160171161,0.00734501289079068
0.95,11,0.975825,0.973138888888889,0.00692724638108409,0.00769694042342677
0.99,1,0.980275,0.978083333333333,0.00751173324630451,0.00834637027367168
0.99,2,0.9722,0.969111111111111,0.00785184788132802,0.00872427542369781
0.99,3,0.979575,0.977305555555556,0.00590384868479277,0.00655983187199197
0.99,4,0.9781,0.975666666666667,0.00704530791636276,0.00782811990706973
0.99,5,0.978375,0.975972222222222,0.0067455091682833,0.00749501018698144
0.99,6,0.97775,0.975277777777778,0.00707553046160721,0.00786170051289689
0.99,7,0.977225,0.974694444444444,0.00682478215880563,0.00758309128756182
0.99,8,0.97515,0.972388888888889,0.00676835327539913,0.00752039252822127
0.99,9,0.975575,0.972861111111111,0.00676867972743026,0.00752075525270029
0.99,10,0.97435,0.9715,0.00742487628710324,0.00824986254122583
0.99,11,0.97425,0.971388888888889,0.00676536784071658,0.00751707537857398
