"knnAccuracy","knnAccuracySD","svmAccuracy","svmAccuracySD"
0.978,0.00771002233748027,0.9775,0.0097182531580755
0.95975,0.0119286070715179,0.96625,0.00801474335902973
0.89725,0.0175376578950681,0.925,0.014142135623731
0.98975,0.00342580079851574,0.99375,0.0027003086243366
0.987,0.00705139860043539,0.9925,0.00263523138347366
0.964,0.0128668393770792,0.97525,0.00730772042279793
0.90325,0.017836058981737,0.9295,0.0153568659997193
0.967,0.0108525470640665,0.9745,0.0105934990547138
0.95,0.00942809041582064,0.9635,0.00756453714527348
0.98275,0.00701684481167363,0.9885,0.00718795288428262
0.94475,0.0124415299166407,0.95325,0.00816921728876831
0.964,0.0089907359728408,0.97175,0.00850245062712315
0.926,0.00966091783079298,0.96125,0.00679562767929173
0.993,0.00283823106098773,0.9915,0.00542627353203324
0.982,0.00779957263786506,0.9815,0.00567646212197546
0.97575,0.00950511558173926,0.98125,0.00543266867100221
0.991,0.00647645307590849,0.99325,0.00745821694508816
0.9805,0.00483045891539647,0.97025,0.00671337802037428
0.98525,0.00639552795144996,0.9885,0.00411636301174281
0.996,0.00241522945769824,0.997,0.0036893239368631
0.97525,0.00639552795144998,0.98,0.00589255650988792
0.9545,0.00695221787153808,0.96775,0.00820314980154983
0.97575,0.005658081732256,0.98175,0.00486626710688548
